id,vintage_year,monthly_installment,loan_balance,bureau_score,num_bankrupt_iva,time_since_bankrupt,num_ccj,time_since_ccj,ccj_amount,num_bankrupt,num_iva,min_months_since_bankrupt,pl_flag,region,ltv,arrears_months,origination_date,maturity_date,repayment_type,arrears_status,arrears_segment,mob,remaining_mat,loan_term,live_status,repaid_status,month,arrears_event,bankrupt_event,term_expiry_event,worst_arrears_status,max_arrears_12m,recent_arrears_date,months_since_2mia,avg_mia_6m,max_arrears_bal_6m,max_mia_6m,avg_bal_6m,avg_bureau_score_6m,cc_util,annual_income,emp_length,months_since_recent_cc_delinq
6670001,2005,746.7,131304.44,541,0,0,0,0,0,0,0,0,1,r_a,0.7586,0,14-09-2005,30-09-2040,Non-IO,1,1,120,300,35,1,0,9,0,0,0,1,0,,,0,-42,0,132080,542,0.4578,76749,3,11
9131199,2006,887.4,115486.51,441,0,0,0,0,0,0,0,0,1,r_b,0.6973,0,20-01-2006,31-01-2031,Non-IO,1,1,116,184,25,1,0,9,0,0,0,1,0,,,0,0,0,116972,494,0.6299,78451,10,7
4963167,2004,1008.5,128381.73,282,0,0,1,36,459,0,0,0,0,r_c,0.6959,2.188230045,21-12-2004,31-12-2029,Non-IO,2,2,129,171,25,1,0,9,1,0,0,2,2.188230045,30-09-2015,0,0,1198,2,128500,290,0.6331,31038,3,6
3918582,2005,458.23,35482.96,461,0,0,0,0,0,0,0,0,0,r_d,0.1099,0,21-06-2005,30-06-2023,Non-IO,1,1,123,93,18,1,0,9,0,0,0,1,0,,,0,-114,0,36610,460,0.499,56663,8,6
5949777,2006,431.2,77086.31,466,0,0,0,0,0,0,0,0,1,r_e,0.3776,0,19-07-2006,31-07-2041,Non-IO,1,1,110,310,35,1,0,9,0,0,0,1,0,,,0,0,0,77518,468,0.9568,77014,10,3
1868971,2005,228.86,40380.63,470,0,0,0,0,0,0,0,0,0,r_c,0.2192,0,13-09-2005,30-09-2015,IO,1,1,120,0,10,1,0,9,0,0,1,1,0,,,0,0,0,60454,484,0.6074,52457,3,3
8656464,2004,370.21,44978.8,515,0,0,0,0,0,0,0,0,1,r_c,0.4727,0,29-07-2004,31-07-2029,Non-IO,1,1,134,166,25,1,0,9,0,0,0,1,0,,,0,-114,0,45686,516,0.3454,74479,11,13
2347301,2005,1665.05,440127.97,487,0,0,0,0,0,0,0,0,0,r_f,0.5215,0,27-09-2005,30-09-2030,IO,1,1,120,180,25,1,0,9,0,0,0,1,0,,,0,0,0,440064,400,0.569,92025,5,5
7372573,2007,397.1,100918.22,,,,,,,,,,1,r_g,0.9995,1.775698816,31-01-2007,31-01-2042,IO,2,2,104,316,35,1,0,9,1,0,0,2,1.775698816,,,0,308,0,100178,,0.9923,43162,4,3
7843579,2004,615.51,77337.43,307,0,0,0,0,0,0,0,0,0,r_h,0.4302,0,16-12-2004,31-12-2029,Non-IO,1,1,129,171,25,1,0,9,0,0,0,1,0,,,0,0,0,78460,318,0.3598,36206,1,14
4066165,2005,471.44,125415.07,367,0,0,0,0,0,0,0,0,0,r_c,0.8256,0.607924656,06-10-2005,31-10-2030,IO,2,1,119,181,25,1,0,9,0,0,0,2,1.807653148,,,2,800,2,125606,376,0.5415,58971,8,9
3188782,2007,334.7,83965.1,328,0,0,0,0,0,0,0,0,1,r_a,1.078,0,23-04-2007,30-04-2037,IO,1,1,101,259,30,1,0,9,0,0,0,1,0,,,0,-244,0,83962,370,0.3522,76460,7,14
3581494,2006,771.3,194978.99,518,0,0,0,0,0,0,0,0,1,r_h,0.862,0,22-06-2006,30-06-2026,IO,1,1,111,129,20,1,0,9,0,0,0,1,0,,,0,0,0,194956,518,0.4029,86752,5,4
8028525,2005,363,56273.26,428,0,0,0,0,0,0,0,0,1,r_a,0.6885,0,14-12-2005,31-12-2035,Non-IO,1,1,117,243,30,1,0,9,0,0,0,1,0,,,0,0,0,56754,432,0.5452,83073,10,3
5253590,2003,321.16,80971.8,472,0,0,0,0,0,0,0,0,1,r_d,0.7259,0,29-10-2003,31-10-2027,IO,1,1,143,145,24,1,0,9,0,0,0,1,0,,,0,-104,0,80968,490,0.5933,60361,9,7
3510252,2007,437.9,59906.35,427,0,0,0,0,0,0,0,0,1,r_i,0.709,0,06-03-2007,31-03-2032,Non-IO,1,1,102,198,25,1,0,9,0,0,0,1,0,,,0,-368,0,60642,374,0.5753,70523,8,9
7042373,2006,189.7,191292.23,430,0,0,0,0,0,0,0,0,0,r_d,0.8023,0,16-01-2006,31-01-2031,IO,1,1,116,184,25,1,0,9,0,0,0,1,0,,,0,0,0,191290,380,0.7572,49050,4,3
6838892,2006,372.32,98419.41,426,0,0,0,0,0,0,0,0,0,r_e,0.2471,0,24-04-2006,30-04-2030,IO,1,1,113,175,24,1,0,9,0,0,0,1,0,,,0,-1980,0,98416,436,0.568,70219,6,3
3691330,2007,976.02,257951.62,458,0,0,0,0,0,0,0,0,0,r_a,0.8819,0,07-03-2007,31-03-2032,IO,1,1,102,198,25,1,0,9,0,0,0,1,0,,,0,0,0,257952,432,0.3893,42831,1,11
1108986,2003,370,13120.04,537,0,0,0,0,0,0,0,0,0,r_g,0.1028,0,14-11-2003,30-11-2018,Non-IO,1,1,142,38,15,1,0,9,0,0,0,1,0,,,0,-74,0,14234,538,0.7939,65531,6,3
1567700,2006,1002.99,113546.28,180,0,0,0,0,0,0,0,0,1,r_e,0.3749,0,24-04-2006,30-04-2028,Non-IO,1,1,113,151,22,1,0,9,0,0,0,1,0,,,0,-520,0,115462,202,0.5097,60807,7,10
8007790,2005,777.2,119226.81,494,0,0,0,0,0,0,0,0,1,r_g,0.7808,0,16-05-2005,31-05-2035,Non-IO,1,1,124,236,30,1,0,9,0,0,0,1,0,,,0,0,0,120278,498,0.8213,103316,8,11
4149143,2005,527.46,139325.95,365,1,56,1,56,0,0,1,0,0,r_d,0.6523,0,25-04-2005,30-04-2030,IO,1,1,125,175,25,1,0,9,0,0,0,1,0,,,0,-3864,0,139328,366,0.5139,85899,7,3
1848036,2006,505.7,127972.39,502,0,0,0,0,0,0,0,0,1,r_d,0.6869,0,25-05-2006,31-05-2031,IO,1,1,112,188,25,1,0,9,0,0,0,1,0,,,0,0,0,127966,502,0.1997,67675,8,14
3966099,2006,1286.8,340015.6,378,0,0,0,0,0,0,0,0,0,r_l,0.7559,0,20-12-2006,31-12-2036,IO,1,1,105,255,30,1,0,9,0,0,0,1,0,,,0,0,0,340018,378,0.6066,54259,4,5
8534650,2007,574.11,94911.49,444,0,0,0,0,0,0,0,0,0,r_d,0.2331,0,24-05-2007,31-05-2037,Non-IO,1,1,100,260,30,1,0,9,0,0,0,1,0,,,0,0,0,95426,460,0.4704,83250,10,6
8452715,2006,762.84,104257.5,417,0,0,0,0,0,0,0,0,0,r_d,0.512,0,09-11-2006,30-11-2031,Non-IO,1,1,106,194,25,1,0,9,0,0,0,1,0,,,0,-250,0,105668,452,1.0227,80344,6,7
4093539,2007,388.9,85946.99,213,0,0,0,0,0,0,0,0,1,r_h,0.8805,0,22-03-2007,31-03-2036,Non-IO,1,1,102,246,29,1,0,9,0,0,0,1,0,,,0,0,0,86086,204,0.3282,58765,8,13
3337583,2006,591.27,164732.04,494,0,0,0,0,0,0,0,0,0,r_b,0.5028,0,21-11-2006,30-11-2016,IO,1,1,106,14,10,1,0,9,0,0,0,1,0,,,0,0,0,162566,570,0.5456,59077,6,4
8033354,2006,565.4,139603.15,160,0,0,0,0,0,0,0,0,1,r_d,0.7772,0,08-05-2006,31-05-2036,Non-IO,1,1,112,248,30,1,0,9,0,0,0,1,0,,,0,-384,0,139638,204,1.0064,72372,9,8
1832358,2006,761.06,188346.73,278,0,0,0,0,0,0,0,0,0,r_e,0.2454,0,02-11-2006,30-11-2016,IO,1,1,106,14,10,1,0,9,0,0,0,1,0,,,0,-3202,0,188744,252,0.2768,61404,6,14
1909666,2004,402.66,57664.72,363,0,0,0,0,0,0,0,0,1,r_c,0.6812,0,05-04-2004,30-04-2034,Non-IO,1,1,137,223,30,1,0,9,0,0,0,1,0,,,0,0,0,58286,356,0.4079,84614,9,4
8438164,2005,152.21,16658.53,539,0,0,0,0,0,0,0,0,0,r_i,0.1736,0,31-08-2005,31-08-2027,Non-IO,1,1,121,143,22,1,0,9,0,0,0,1,0,,,0,-2608,0,16968,538,0.4908,56534,6,6
9023854,2007,410.6,88083.64,227,0,0,0,0,0,0,0,0,0,r_d,0.2409,0,04-04-2007,30-04-2027,IO,1,1,101,139,20,1,0,9,0,0,0,1,0,,,0,-328,0,88084,218,0.2915,38100,2,9
